module,tier,domain,maturity,coupling,disposition,version,layer,dependents,loc,files,tests,commits,last_commit,cdc_impact_cols,application,license,name_collision,summary,packs,tags,models_without_search,core_field_dupes
auth_jwt,_vendor,Other,B,GENERIC,ADOPT,19.0.1.0.2,0,2,1097,21,0,2,2026-05-21,0,False,LGPL-3,False,JWT bearer token authentication.,,,auth.jwt.validator,
authenticate_keycloak,ee_gap,Platform & Ops,C,GENERIC,DEFER,19.0.2.0.0,1,0,308,8,0,2,2026-07-17,0,False,LGPL-3,False,"Adds the OAuth2 authorization-code flow (confidential client) to Odoo's auth_oauth, so Keycloak clients with Client Authentication on can log in",,,,
base_rest,_vendor,Other,B,DEAD,DROP,18.0.1.1.1,0,0,4659,64,0,1,2026-05-16,0,False,LGPL-3,False,Develop your own high level REST APIs for Odoo thanks to this addon.,,,,
custom_account_batch_payment,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.1.0.0,0,0,695,14,1,3,2026-07-29,0,False,LGPL-3,False,Batch payments with Indonesian bank transfer-file export (EE account_batch_payment gap closure).,,,custom.account.batch.payment;custom.batch.payment.format,
custom_account_deferred,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.1.0.0,0,0,534,14,1,2,2026-07-24,9,False,LGPL-3,False,EE-style deferred entries: spread invoice/bill lines over a date range via a deferred account (EE gap closure).,,,,
custom_account_reconcile,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.2.0.0,0,0,965,14,1,2,2026-07-24,0,False,LGPL-3,False,Enterprise-style manual reconciliation menu and wizard for Odoo CE (EE-gap closure).,,,,
custom_accounting_asset,ee_gap,Finance & Accounting,A,GENERIC,ADOPT,19.0.0.5.0,5,4,3338,36,1,26,2026-08-04,0,True,LGPL-3,False,"Fixed asset register with depreciation schedule, monthly posting cron, and disposal workflow",manufacturing,,custom.fixed.asset.depreciation.line;custom.fixed.asset.group;custom.fixed.asset.location;custom.fixed.asset.revaluation,
custom_accounting_full,ee_gap,Finance & Accounting,A,GENERIC,ADOPT,19.0.0.4.0,3,6,5091,67,10,15,2026-07-29,15,True,LGPL-3,False,Indonesian COA + intercompany automation + consolidation reports (CE multi-company gap),retail;fnb;drone_services;drone_rental;distrib;manufacturing;services;ppob,accounting;consolidation;intercompany,account.consolidation.config;account.intercompany.account.mapping;account.intercompany.rule;custom.consolidation.chart;custom.consolidation.chart.account;custom.consolidation.mapping;custom.credit.check.log;custom.elimination.proposal;custom.elimination.proposal.line;custom.elimination.rule;custom.fiscal.year;custom.followup.level;custom.match.line.result;custom.match.policy;custom.match.result,res.partner.custom_credit_limit~credit_limit
custom_accounting_recurring,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,4,0,972,17,1,8,2026-07-29,1,True,LGPL-3,False,Recurring journal entries and recurring payments (EE-gap fulfillment).,services,,custom.recurring.journal.template.line;custom.recurring.payment.template,
custom_accounting_reports,ee_gap,Finance & Accounting,A,GENERIC,ADOPT,19.0.0.15.0,4,6,16093,136,1,50,2026-08-04,0,True,LGPL-3,False,"Production-grade financial reports engine (P&L, BS, GL, TB, Cash Flow, Aging, Partner Ledger, Tax, Day/Cash/Bank Book, Journal Audit) for the Custom Platform.",ppob,audit-trail,custom.report.financial,
custom_adapter_framework,core,Platform & Ops,A,GENERIC,ADOPT,19.0.0.2.0,3,5,717,14,1,12,2026-08-04,0,True,LGPL-3,False,"Generic adapter registry, HTTP client, circuit breaker, and audit log for external integrations",ppob,audit-trail,custom.adapter.call.log,
