id,model_name,field_name,pdp_class,legal_basis,notes,drop_to_null
pdp_account_account__account_stock_expense_id,account.account,account_stock_expense_id,internal,Not personal data - business record,,False
pdp_account_account__account_stock_variation_id,account.account,account_stock_variation_id,internal,Not personal data - business record,,False
pdp_account_account__account_type,account.account,account_type,internal,Not personal data - business record,"Chart-of-accounts taxonomy (asset_receivable, income, expense, ...). Not personal data. `internal` carries no transform, so the value lands readable - which is what fct_account_move_line needs it for.",False
pdp_account_account__active,account.account,active,internal,Not personal data - business record,,False
pdp_account_account__code_store,account.account,code_store,internal,Not personal data - business record,"Security ruling 2026-08-31: company_dependent, so stored as a per-company jsonb map ({""1"": ""110100""}) - the res.partner.barcode shape. Contract 01 forbids HMAC-ing such a map as a whole; `internal` satisfies that BY CONSTRUCTION, because the internal transform is `none` and nothing is hashed. The ruling's remedy (drop_to_null) does not follow, because that remedy protects a DATA SUBJECT and a ledger account code has none: it identifies an account, not a person. The map lands as-is.",False
pdp_account_account__create_date,account.account,create_date,internal,Not personal data - business record,,False
pdp_account_account__create_uid,account.account,create_uid,internal,Not personal data - business record,,False
pdp_account_account__currency_id,account.account,currency_id,internal,Not personal data - business record,,False
pdp_account_account__description,account.account,description,internal,Not personal data - business record,"Translated jsonb map keyed by language code. Accountant-facing guidance shown against the account in the chart-of-accounts UI; account configuration, not personal data.",False
pdp_account_account__id,account.account,id,internal,Not personal data - business record,,False
pdp_account_account__l10n_allow_payment_destination,account.account,l10n_allow_payment_destination,internal,Not personal data - business record,,False
pdp_account_account__name,account.account,name,internal,Not personal data - business record,"Translated column, so stored as a jsonb map keyed by language code - a map keyed by something other than a data subject, like code_store. `internal` means no transform, so contract 01's no-HMAC-over-a-map ruling is satisfied by construction. Chart-of-accounts labels are internal configuration; they are not published to counterparties, so `public` would overstate it.",False
pdp_account_account__non_trade,account.account,non_trade,internal,Not personal data - business record,,False
pdp_account_account__note,account.account,note,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,"Security ruling 2026-08-31: Odoo labels this field 'Internal Notes'. It is free text on a financial account: an accountant may type anything there, including a beneficiary name or a bank account number, and contract 01 lists bank account under Art. 4(3). Treated like every other free-text column in this registry (res.partner.comment, account.move.narration, stock.picking.note, ...) and dropped to NULL. No metric in contract 03 references it.",True
pdp_account_account__reconcile,account.account,reconcile,internal,Not personal data - business record,,False
pdp_account_account__write_date,account.account,write_date,internal,Not personal data - business record,,False
pdp_account_account__write_uid,account.account,write_uid,internal,Not personal data - business record,,False
pdp_account_move__access_token,account.move,access_token,secret,UU 27/2022 Art. 35 - kewajiban pelindungan; credential material,Credential or key material; never named in the extraction SELECT list.,False
pdp_account_move__always_tax_exigible,account.move,always_tax_exigible,internal,Not personal data - business record,,False
pdp_account_move__amount_residual,account.move,amount_residual,internal,Not personal data - business record,,False
pdp_account_move__amount_residual_signed,account.move,amount_residual_signed,internal,Not personal data - business record,,False
pdp_account_move__amount_tax,account.move,amount_tax,internal,Not personal data - business record,,False
pdp_account_move__amount_tax_signed,account.move,amount_tax_signed,internal,Not personal data - business record,,False
pdp_account_move__amount_total,account.move,amount_total,internal,Not personal data - business record,,False
pdp_account_move__amount_total_in_currency_signed,account.move,amount_total_in_currency_signed,internal,Not personal data - business record,,False
pdp_account_move__amount_total_signed,account.move,amount_total_signed,internal,Not personal data - business record,,False
pdp_account_move__amount_untaxed,account.move,amount_untaxed,internal,Not personal data - business record,,False
pdp_account_move__amount_untaxed_in_currency_signed,account.move,amount_untaxed_in_currency_signed,internal,Not personal data - business record,,False
pdp_account_move__amount_untaxed_signed,account.move,amount_untaxed_signed,internal,Not personal data - business record,,False
pdp_account_move__auto_post,account.move,auto_post,internal,Not personal data - business record,,False
pdp_account_move__auto_post_origin_id,account.move,auto_post_origin_id,internal,Not personal data - business record,,False
pdp_account_move__auto_post_until,account.move,auto_post_until,internal,Not personal data - business record,,False
pdp_account_move__campaign_id,account.move,campaign_id,internal,Not personal data - business record,,False
pdp_account_move__checked,account.move,checked,internal,Not personal data - business record,,False
pdp_account_move__commercial_partner_id,account.move,commercial_partner_id,internal,Not personal data - business record,,False
pdp_account_move__company_id,account.move,company_id,internal,Not personal data - business record,,False
pdp_account_move__create_date,account.move,create_date,internal,Not personal data - business record,,False
pdp_account_move__create_uid,account.move,create_uid,internal,Not personal data - business record,,False
pdp_account_move__currency_id,account.move,currency_id,internal,Not personal data - business record,,False
pdp_account_move__custom_match_result_id,account.move,custom_match_result_id,internal,Not personal data - business record,,False
pdp_account_move__custom_match_status,account.move,custom_match_status,internal,Not personal data - business record,,False
pdp_account_move__custom_recurring_template_id,account.move,custom_recurring_template_id,internal,Not personal data - business record,,False
pdp_account_move__date,account.move,date,internal,Not personal data - business record,,False
pdp_account_move__deferred_entry_type,account.move,deferred_entry_type,internal,Not personal data - business record,,False
pdp_account_move__deferred_origin_move_id,account.move,deferred_origin_move_id,internal,Not personal data - business record,,False
pdp_account_move__delivery_date,account.move,delivery_date,internal,Not personal data - business record,,False
pdp_account_move__fiscal_position_id,account.move,fiscal_position_id,internal,Not personal data - business record,,False
pdp_account_move__id,account.move,id,internal,Not personal data - business record,,False
pdp_account_move__inalterable_hash,account.move,inalterable_hash,secret,UU 27/2022 Art. 35 - kewajiban pelindungan; credential material,Credential or key material; never named in the extraction SELECT list.,False
